Generation Model,Embedding Model,Arrival Rate,Top K,Retrieved Doc. Recall@K,Avg. RAG Accuracy,Avg. Queue Latency (s),Avg. Emb. Latency (s),Avg. Ret. Latency (s),Avg. Gen. Latency (s),P99 Latency (s),Throughput (q/s),Avg GPU Power: Embedding (W),Est. GPU Energy Embedding (J),Avg. Energy per Query Embedding (J),Avg GPU Power: Generation (W),Est. GPU Energy Generation (J),Avg. Energy per Query Generation (J),Total Avg. Energy per Query (J)
LLAMA8B,infly/inf-retriever-v1-1.5b,2,1,0.1102,0.1266,0.0004,0.0347,0.0077,0.1875,0.8518,1.9707,61.5683,19744.4898,31.2413,128.5286,41218.1256,65.2186,96.4598
LLAMA8B,infly/inf-retriever-v1-1.5b,4,1,0.1102,0.1266,0.0003,0.0435,0.0069,0.1839,0.8292,3.9403,61.5956,9879.5869,15.6323,166.7563,26746.7866,42.3209,57.9531
LLAMA8B,intfloat/multilingual-e5-small,2,1,0.1017,0.1266,0.0003,0.0124,0.0107,0.1739,0.7887,1.9706,61.4097,19694.7024,31.1625,123.0709,39470.0906,62.4527,93.6152
LLAMA8B,intfloat/multilingual-e5-small,4,1,0.1017,0.1266,0.0003,0.0129,0.0097,0.1685,0.7563,3.9362,61.3718,9853.8004,15.5915,158.0022,25368.6851,40.1403,55.7318
LLAMA8B,Snowflake/snowflake-arctic-embed-s,2,1,0.0217,0.1108,0.0003,0.0130,0.0143,0.1317,0.8405,1.9713,61.3737,19676.8513,31.1343,107.9492,34609.2956,54.7615,85.8958
LLAMA8B,Snowflake/snowflake-arctic-embed-s,4,1,0.0217,0.1108,0.0004,0.0133,0.0097,0.1698,0.8728,3.9392,61.3755,9847.0377,15.5808,159.5804,25602.9765,40.5110,56.0918
LLAMA8B,infly/inf-retriever-v1-1.5b,2,3,0.2057,0.1297,0.0003,0.0347,0.0068,0.2207,1.1914,1.9710,61.3097,19658.9573,31.1059,142.2179,45602.1575,72.1553,103.2613
LLAMA8B,infly/inf-retriever-v1-1.5b,4,3,0.2057,0.1282,0.0003,0.0407,0.0069,0.2044,1.1764,3.9405,61.2388,9821.7655,15.5408,180.5000,28949.4076,45.8060,61.3468
LLAMA8B,intfloat/multilingual-e5-small,2,3,0.1690,0.1076,0.0004,0.0126,0.0098,0.2105,0.8039,1.9705,61.3658,19681.6640,31.1419,135.2003,43362.3435,68.6113,99.7532
LLAMA8B,intfloat/multilingual-e5-small,4,3,0.1690,0.1060,0.0004,0.0126,0.0099,0.1992,0.7812,3.9352,61.2768,9841.1848,15.5715,175.6043,28202.4200,44.6241,60.1956
