Generation Model,Embedding Model,Arrival Rate,Top K,Retrieved Doc. Recall@K,Avg. RAG Accuracy,Avg. Queue Latency (s),Avg. Emb. Latency (s),Avg. Ret. Latency (s),Avg. Gen. Latency (s),P99 Latency (s),Throughput (q/s),Avg GPU Power: Embedding (W),Est. GPU Energy Embedding (J),Avg. Energy per Query Embedding (J),Avg GPU Power: Generation (W),Est. GPU Energy Generation (J),Avg. Energy per Query Generation (J),Total Avg. Energy per Query (J)
LLAMA70B,Snowflake/snowflake-arctic-embed-s,6,5,0.1113666667,0.873,0.0003649382591,0.0123714819,0.01629040194,0.2145868473,0.8471891165,6.153765563,68.11238693,11068.40783,11.06840783,244.9899717,159245.5671,159.2455671,170.3139749
LLAMA70B,infly/inf-retriever-v1-1.5b,6,5,0.5631333333,0.873,0.0003462154865,0.05938347268,0.008010569572,0.8418811593,2.850415366,6.145597057,75.51920103,12288.34242,12.28834242,349.218721,227296.8551,227.2968551,239.5851976
LLAMA70B,intfloat/multilingual-e5-small,6,5,0.5162928571,0.881,0.0003040938377,0.01246164227,0.009577516079,0.3828629649,1.145221252,6.153687918,68.18637037,11080.5701,11.0805701,310.4546259,201800.6958,201.8006958,212.8812659
LLAMA70B,Snowflake/snowflake-arctic-embed-s,6,10,0.1608666667,0.87,0.0002884802818,0.01145967126,0.008772722483,0.2110760269,0.5393610501,6.158754195,68.12280151,11061.13336,11.06113336,250.7875345,162881.9898,162.8819898,173.9431232
LLAMA70B,infly/inf-retriever-v1-1.5b,6,10,0.6270166667,0.867,2.669436235,0.07259382653,0.009552863359,22.92645173,51.71591305,4.688383904,73.72143829,15724.2751,15.7242751,396.3699563,338171.9282,338.1719282,353.8962033
LLAMA70B,intfloat/multilingual-e5-small,6,10,0.6269595238,0.878,0.001240171671,0.02556133771,0.03672982526,1.750934626,5.100106614,6.147219237,68.06648379,11072.72755,11.07272755,373.1378273,242801.0539,242.8010539,253.8737814
LLAMA70B,Snowflake/snowflake-arctic-embed-s,6,20,0.1951666667,0.873,0.000274897337,0.01147563553,0.008859743118,0.6925505512,2.201795511,6.157591829,68.12803665,11064.07156,11.06407156,336.9512925,218885.1109,218.8851109,229.9491824
LLAMA70B,infly/inf-retriever-v1-1.5b,6,20,0.6855333333,0.861,72.88876874,0.05663196397,0.009270392895,60.20730926,263.9471847,2.339390146,70.5854931,30172.60426,30.17260426,397.1932322,679139.7884,679.1397884,709.3123927
LLAMA70B,intfloat/multilingual-e5-small,6,20,0.698552381,0.868,18.39917228,0.02237593317,0.01085480952,34.91284609,105.620416,3.736353493,68.0329003,18208.36825,18.20836825,397.167602,425192.7477,425.1927477,443.4011159
LLAMA70B,Snowflake/snowflake-arctic-embed-s,6,50,0.25305,0.859,16.42978356,0.0246518724,0.01003912687,33.62390277,95.42199973,3.878185355,68.10569841,17561.2283,17.5612283,396.7173433,409178.3212,409.1783212,426.7395495
LLAMA70B,infly/inf-retriever-v1-1.5b,6,50,0.7481333333,0.867,317.7080957,0.03967594099,0.007292057753,163.1418355,950.6540302,0.8920657194,68.86770357,77200.25787,77.20025787,396.9892054,1780089.501,1780.089501,1857.289759
LLAMA70B,intfloat/multilingual-e5-small,6,50,0.7747285714,0.863,165.1436664,0.01406550264,0.01022656655,98.76837468,520.1239631,1.456039646,67.9791244,46687.68779,46.68768779,397.1509805,1091044.414,1091.044414,1137.732102
LLAMA70B,infly/inf-retriever-v1-1.5b,6,100,0.78175,0.857,784.6512425,0.03637370777,0.008327691793,357.581275,2249.042973,0.4103693188,68.38768143,166649.1092,166.6491092,397.0396776,3870071.756,3870.071756,4036.720865
LLAMA70B,intfloat/multilingual-e5-small,6,100,0.8074619048,0.868,435.3654596,0.01102894545,0.01047117543,211.2478713,1273.73433,0.6900766508,67.96780804,98493.12821,98.49312821,397.2280236,2302515.369,2302.515369,2401.008497
LLAMA8B,infly/inf-retriever-v1-1.5b,8,5,0.5631333333,,0.0004423472881,0.07579115272,0.00651774168,0.1806483631,0.9534066677,8.203146025,77.88891847,9495.005725,9.495005725,243.5294676,29687.32567,29.68732567,39.1823314
LLAMA8B,intfloat/multilingual-e5-small,8,5,0.5162928571,,0.0003167564869,0.01404752541,0.02938453341,0.1318951292,0.4356110311,8.20450575,68.15051325,8306.473945,8.306473945,216.8358444,26428.87347,26.42887347,34.73534742
LLAMA8B,Snowflake/snowflake-arctic-embed-s,8,5,0.1113666667,0.735,0.0003124294281,0.01222978544,0.01198248053,0.1008321321,0.3762331963,8.200537079,68.2338125,8320.651665,8.320651665,179.9739063,21946.5999,21.9465999,30.26725156
LLAMA8B,infly/inf-retriever-v1-1.5b,8,10,0.6270166667,0.826,0.000316211462,0.06764773989,0.007200158358,0.4275107508,1.470365925,8.200226573,77.97662771,9509.082099,9.509082099,320.0337396,39027.42646,39.02742646,48.53650856
LLAMA8B,intfloat/multilingual-e5-small,8,10,0.6269595238,0.799,0.0003377888203,0.01355569077,0.009238095045,0.2144626353,0.7009273243,8.198381832,68.20317957,8319.102595,8.319102595,273.088056,33309.99478,33.30999478,41.62909737
LLAMA8B,Snowflake/snowflake-arctic-embed-s,8,10,0.1608666667,0.73,0.0002523910999,0.01221187592,0.008948297501,0.1008357873,0.3678668499,8.204703605,68.20791798,8313.2702,8.3132702,182.6357098,22259.87904,22.25987904,30.57314924
LLAMA8B,infly/inf-retriever-v1-1.5b,8,20,0.6855333333,0.818,2.041274879,0.07041757202,0.00967084527,17.10263037,38.97454363,6.220182078,75.00675258,12058.61045,12.05861045,397.4871907,63902.82242,63.90282242,75.96143286
LLAMA8B,intfloat/multilingual-e5-small,8,20,0.698552381,0.809,0.0003002531528,0.01320565009,0.02976545382,0.851156786,3.019097929,8.19463046,68.12106272,8312.890135,8.312890135,361.1607143,44072.84941,44.07284941,52.38573955
LLAMA8B,Snowflake/snowflake-arctic-embed-s,8,20,0.1951666667,0.73,0.0002811009884,0.01279758763,0.01075156355,0.1605679348,0.4706351781,8.202937897,68.16621533,8309.975791,8.309975791,244.982186,29865.17624,29.86517624,38.17515203
LLAMA8B,infly/inf-retriever-v1-1.5b,8,50,0.7481333333,0.66,86.24908744,0.04173151255,0.007693939686,59.04651119,291.1792855,2.406210355,70.82277522,29433.32659,29.43332659,397.7646749,165307.5235,165.3075235,194.7408501
LLAMA8B,intfloat/multilingual-e5-small,8,50,0.7747285714,0.806,34.008478,0.01344393682,0.03361663103,35.84070112,138.5395344,3.826877413,68.00438494,17770.20207,17.77020207,398.2622427,104069.7675,104.0697675,121.8399696
LLAMA8B,Snowflake/snowflake-arctic-embed-s,8,50,0.25305,0.731,0.0002750997543,0.0121687355,0.009110286474,0.7516556773,2.02079035,8.199487317,68.16127625,8312.870502,8.312870502,351.0636995,42815.3232,42.8153232,51.1281937
